"","WMU","Id","d_PCIntra","d_PCFlux","d_PCCon","time_diff"
"1","4L","1","4.6774877480116407E-4","0.02747084448617657",4.73232741202323e-05,13.5213205178579
"2","4L","2","5.4797749711815116E-12","2.4498282925775087E-6",0,13.5213205178579
"3","4L","3","4.8419291643594694E-6","0.0023380930397924617",1.24354260408508e-05,13.5213205178579
"4","4L","4","4.9317974737440755E-11","6.844829541285157E-6",0,13.5213205178579
"5","4L","5","5.47977497079837E-12","2.2853720168214736E-6",0,13.5213205178579
"6","4L","6","2.191909988336376E-11","3.5117321974758085E-6",0,13.5213205178579
"7","4L","7","0.0010734222471928078","0.04565943100586021",0.00131412909948678,13.5213205178579
"8","4L","8","5.47977497084094E-12","2.6381127527294862E-6",0,13.5213205178579
"9","4L","9","5.47977497079837E-12","2.4069850412678545E-6",0,13.5213205178579
"10","4L","10","4.931797473961189E-11","7.557013560193678E-6",0,13.5213205178579
"11","4L","11","1.159520383856576E-8","1.246912759827235E-4",5.15410903274027e-08,13.5213205178579
"12","4L","12","2.1919099884640902E-11","5.301017029027711E-6",0,13.5213205178579
"13","4L","13","5.479774971138939E-12","2.643330626491235E-6",0,13.5213205178579
"14","4L","14","5.4797749711815116E-12","2.5296649621132045E-6",0,13.5213205178579
"15","4L","15","5.47977497084094E-12","2.657231879219634E-6",1.40751775697108e-10,13.5213205178579
"16","4L","16","2.191909988327862E-11","5.086516674790026E-6",0,13.5213205178579
"17","4L","17","5.47977497084094E-12","2.5360713564774365E-6",0,13.5213205178579
"18","4L","18","4.931797473820703E-11","8.020213432515337E-6",0,13.5213205178579
"19","4L","19","5.479774971138939E-12","2.492282429756915E-6",0,13.5213205178579
"20","4L","20","5.4797749711815116E-12","2.450358984337835E-6",0,13.5213205178579
"21","4L","21","2.191909988336376E-11","5.130408508673902E-6",0,13.5213205178579
"22","4L","22","5.479774971138939E-12","2.2748171388616937E-6",0,13.5213205178579
"23","4L","23","5.479774971138939E-12","2.6900335321216743E-6",0,13.5213205178579
"24","4L","24","4.45836683549495E-6","0.0021969756334367725",1.21277507578156e-05,13.5213205178579
"25","4L","25","2.1919099884640902E-11","4.391906179727242E-6",0,13.5213205178579
"26","4L","26","5.47977497084094E-12","2.596552933279218E-6",0,13.5213205178579
"27","4L","27","5.4797749711815116E-12","2.3734408356057323E-6",0,13.5213205178579
"28","4L","28","2.1919099884044905E-11","5.210033256319433E-6",0,13.5213205178579
"29","4L","29","5.4797749711815116E-12","2.080135749829264E-6",0,13.5213205178579
